,ae52_BC,ae52_UVPM
2015-04-12 14:42:27,3878085.4,2346337.0
2015-04-12 14:42:28,3722591.2,2217558.5
2015-04-12 14:42:29,3567097.0,2088780.0
2015-04-12 14:42:30,3875130.8,2497067.2
2015-04-12 14:42:31,4183164.6,2905354.4
2015-04-12 14:42:32,4491198.4,3313641.6
2015-04-12 14:42:33,4799232.2,3721928.8
2015-04-12 14:42:34,5107266.0,4130216.0
2015-04-12 14:42:35,5415299.8,4538503.2
2015-04-12 14:42:36,5723333.6,4946790.4
2015-04-12 14:42:37,6031367.4,5355077.6
2015-04-12 14:42:38,6339401.2,5763364.8
2015-04-12 14:42:39,6647435.0,6171652.0
2015-04-12 14:42:40,7032795.2,5954854.6
2015-04-12 14:42:41,7418155.4,5738057.2
2015-04-12 14:42:42,7803515.6,5521259.8
2015-04-12 14:42:43,8188875.8,5304462.4
2015-04-12 14:42:44,8574236.0,5087665.0
2015-04-12 14:42:45,8959596.2,4870867.6
2015-04-12 14:42:46,9344956.4,4654070.2
2015-04-12 14:42:47,9730316.6,4437272.8
2015-04-12 14:42:48,10115676.8,4220475.4
2015-04-12 14:42:49,10501037.0,4003678.0
2015-04-12 14:42:50,9701012.4,3691893.1
2015-04-12 14:42:51,8900987.8,3380108.2
2015-04-12 14:42:52,8100963.2,3068323.3
2015-04-12 14:42:53,7300938.6,2756538.4
2015-04-12 14:42:54,6500914.0,2444753.5
2015-04-12 14:42:55,5700889.4,2132968.6
2015-04-12 14:42:56,4900864.8,1821183.7
2015-04-12 14:42:57,4100840.2,1509398.8
