,co2tpi_CO2ppm
2015-04-12 14:41:55,70460.3
2015-04-12 14:41:56,70648.1
2015-04-12 14:41:57,69788.4333333
2015-04-12 14:41:58,68928.7666667
2015-04-12 14:41:59,68069.1
2015-04-12 14:42:00,63456.6
2015-04-12 14:42:01,62312.85
2015-04-12 14:42:02,61169.1
2015-04-12 14:42:03,60124.1
2015-04-12 14:42:04,60825.55
2015-04-12 14:42:05,61527.0
2015-04-12 14:42:06,59731.2
2015-04-12 14:42:07,57917.0
2015-04-12 14:42:08,56102.8
2015-04-12 14:42:09,56094.6
2015-04-12 14:42:10,57076.7
2015-04-12 14:42:11,58058.8
2015-04-12 14:42:12,51960.7
2015-04-12 14:42:13,47943.0
2015-04-12 14:42:14,43925.3
2015-04-12 14:42:15,43224.8
2015-04-12 14:42:16,44819.25
2015-04-12 14:42:17,46413.7
2015-04-12 14:42:18,54918.2
2015-04-12 14:42:19,57666.55
2015-04-12 14:42:20,60414.9
2015-04-12 14:42:21,61149.2333333
2015-04-12 14:42:22,61883.5666667
2015-04-12 14:42:23,62617.9
2015-04-12 14:42:24,60463.1
2015-04-12 14:42:25,59525.45
2015-04-12 14:42:26,58587.8
2015-04-12 14:42:27,61896.6
2015-04-12 14:42:28,63338.55
2015-04-12 14:42:29,64780.5
2015-04-12 14:42:30,65652.5
2015-04-12 14:42:31,61767.75
2015-04-12 14:42:32,57883.0
2015-04-12 14:42:33,49878.4
2015-04-12 14:42:34,48825.45
2015-04-12 14:42:35,47772.5
2015-04-12 14:42:36,49568.8
2015-04-12 14:42:37,50497.85
2015-04-12 14:42:38,51426.9
2015-04-12 14:42:39,54704.7
2015-04-12 14:42:40,56153.15
2015-04-12 14:42:41,57601.6
2015-04-12 14:42:42,62480.9
2015-04-12 14:42:43,63335.35
2015-04-12 14:42:44,64189.8
2015-04-12 14:42:45,64012.7333333
2015-04-12 14:42:46,63835.6666667
2015-04-12 14:42:47,63658.6
2015-04-12 14:42:48,64085.4
2015-04-12 14:42:49,62846.05
2015-04-12 14:42:50,61606.7
2015-04-12 14:42:51,60284.3
2015-04-12 14:42:52,62097.55
2015-04-12 14:42:53,63910.8
2015-04-12 14:42:54,66323.7
2015-04-12 14:42:55,63308.75
2015-04-12 14:42:56,60293.8
2015-04-12 14:42:57,50262.8
2015-04-12 14:42:58,45842.8
2015-04-12 14:42:59,41422.8
2015-04-12 14:43:00,34363.7
2015-04-12 14:43:01,31378.3
2015-04-12 14:43:02,28392.9
2015-04-12 14:43:03,25326.7
2015-04-12 14:43:04,26324.55
2015-04-12 14:43:05,27322.4
2015-04-12 14:43:06,30882.5
2015-04-12 14:43:07,32246.15
2015-04-12 14:43:08,33609.8
2015-04-12 14:43:09,33304.4333333
