AE51	
Date Time	IR: Ref;IR Sense;IR Atten;UV: Ref;UV: Sense;UV Atten;Flow (mL/m);Temp (C);0;0;IR BC;UV BC	2015/04/12;14:33:18;
2015/04/12;14:55:08;6501936;7694181;-16.84;3565109;2490928;35.85;17220;49;0;0;-477430;3338080
2015/04/12;14:55:18;2097202;787471;97.95;9440522;7694083;20.46;22788;0;0;0;1709112;-99549
2015/04/12;14:55:28;3420209;6775351;-68.36;6632736;156262;374.82;17476;67;0;0;-3228909;2987391
2015/04/12;14:55:38;12044;266016;-309.50;854539;6751056;-206.69;1053;89;0;0;-77698847;-81359973
2015/04/12;14:55:48;6710816;6764386;-0.80;6632736;145459;381.99;17476;67;0;0;5993406;4962663
2015/04/12;14:55:58;12812;266016;-303.32;854539;6751127;-206.69;1063;89;0;0;-96560120;-81587628
2015/04/12;14:56:08;6579744;6775096;-2.93;6567200;145765;380.78;17476;67;0;0;5832026;4952529
2015/04/12;14:56:18;12812;266016;-303.32;854539;6751113;-206.69;1073;89;0;0;-94986474;-80662036
2015/04/12;14:56:28;6383136;6764343;-5.80;6567200;155958;374.03;17476;67;0;0;5776213;4895547
2015/04/12;14:56:38;12812;266016;-303.32;854539;6751084;-206.69;1083;89;0;0;-93208765;-78997701
2015/04/12;14:56:48;3696160;6763826;-60.43;6567200;143409;382.41;17476;67;0;0;4715607;4966261
2015/04/12;14:56:58;12812;266016;-303.32;854539;6751098;-206.69;1033;89;0;0;-79777305;-84017813
2015/04/12;14:57:08;3499552;6775140;-66.06;6501664;145506;379.96;17476;67;0;0;4606243;4945570
2015/04/12;14:57:18;12812;266016;-303.32;854539;6751187;-206.69;1043;89;0;0;-77179958;-82865741
2015/04/12;14:57:28;3434016;6775097;-67.95;6501664;156984;372.37;17476;67;0;0;4569552;4881573
2015/04/12;14:57:38;12556;266016;-305.34;854539;6751153;-206.69;1053;89;0;0;-76488423;-81016426
2015/04/12;14:57:48;3368480;6776421;-69.90;6501664;145463;379.99;17476;67;0;0;4570949;4945826
2015/04/12;14:57:58;12812;266016;-303.32;854539;6751015;-206.69;1063;89;0;0;-74503378;-81310392
2015/04/12;14:58:08;3368480;6764339;-69.72;6501664;156725;372.53;17476;67;0;0;4535228;4882944
2015/04/12;14:58:18;13068;266016;-301.34;854539;6751105;-206.69;1073;89;0;0;-73239864;-79528909
2015/04/12;14:58:28;3302944;6763574;-71.67;6501664;145204;380.17;17476;67;0;0;4458892;4947322
2015/04/12;14:58:38;12556;266016;-305.34;854539;6751051;-206.69;1083;89;0;0;-73203756;-79833131
2015/04/12;14:58:48;3302944;6763057;-71.67;6501664;145715;379.82;17476;67;0;0;4536637;4944354
2015/04/12;14:58:58;12812;266016;-303.32;854539;6751176;-206.69;1033;89;0;0;-76086591;-83647432
2015/04/12;14:59:08;3237408;6764387;-73.69;6501664;143411;381.41;17476;67;0;0;4458159;4957805
2015/04/12;14:59:18;12812;266016;-303.32;854539;6751166;-206.69;1043;89;0;0;-74698749;-83070551
2015/04/12;14:59:28;3237408;6776377;-73.87;6501664;156210;372.86;17476;67;0;0;4454721;4885737
2015/04/12;14:59:38;12812;266016;-303.32;854539;6751023;-206.69;1053;89;0;0;-73932297;-81085310
2015/04/12;14:59:48;3237408;6763320;-73.67;6501664;145714;379.82;17476;67;0;0;4458466;4944356
2015/04/12;14:59:58;12812;266016;-303.32;854539;6751227;-206.69;1063;89;0;0;-73298351;-81286933
2015/04/12;15:00:08;3237408;6764598;-73.69;6501664;144178;380.88;17476;67;0;0;4458099;4953315
2015/04/12;15:00:18;12812;266016;-303.32;854539;6751125;-206.69;1073;89;0;0;-72609261;-80674661
2015/04/12;15:00:28;3237408;6763829;-73.68;6501664;143410;381.41;17476;67;0;0;4458320;4957805
2015/04/12;15:00:38;12812;266016;-303.32;854539;6751066;-206.69;1083;89;0;0;-71942377;-80002280
2015/04/12;15:00:48;3237408;6775347;-73.85;6501664;156721;372.53;17476;67;0;0;4455016;4882971
2015/04/12;15:00:58;12812;266016;-303.32;854539;6751117;-206.69;1033;89;0;0;-75368699;-82608830
2015/04/12;15:01:08;3237408;6763570;-73.68;6501664;155953;373.03;17476;67;0;0;4458394;4887119
2015/04/12;15:01:18;12812;266016;-303.32;854539;6751167;-206.69;1043;89;0;0;-74702678;-81886293
2015/04/12;15:01:28;3237408;6776112;-73.86;6501664;144689;380.52;17476;67;0;0;4454797;4950325
2015/04/12;15:01:38;12556;266016;-305.34;854539;6751207;-206.69;1053;89;0;0;-74583902;-82157613
2015/04/12;15:01:48;3171872;6763622;-75.72;6501664;143665;381.23;17476;67;0;0;4457860;4956317
2015/04/12;15:01:58;12812;266016;-303.32;854539;6751007;-206.69;1063;89;0;0;-72644162;-81482754
2015/04/12;15:02:08;3171872;6762597;-75.71;6501664;143409;381.41;17476;67;0;0;4418968;4957796
2015/04/12;15:02:18;12812;266016;-303.32;854539;6750980;-206.69;1073;89;0;0;-71971935;-80747795
2015/04/12;15:02:28;3171872;6775651;-75.90;6501664;156720;372.54;17476;67;0;0;4415224;4882966
2015/04/12;15:02:38;12812;266016;-303.32;854539;6751149;-206.69;1083;89;0;0;-71246958;-78795092
2015/04/12;15:02:48;3171872;6764642;-75.74;6501664;144432;380.70;17476;67;0;0;4418381;4951821
2015/04/12;15:02:58;14604;266016;-290.23;854539;6751032;-206.69;1545;89;0;0;-47102813;-56011506
2015/04/12;15:03:08;6645024;6762550;-1.75;6436128;143670;380.22;17476;67;0;0;5600627;4947726
2015/04/12;15:03:18;16652;266016;-277.10;854539;6751000;-206.69;1555;89;0;0;-60079655;-55605391
2015/04/12;15:03:28;3368224;6762803;-69.71;3749152;157240;317.15;17476;67;0;0;4026567;4416070
2015/04/12;15:03:38;22028;266016;-249.12;854539;6751068;-206.69;1565;89;0;0;-38898045;-49313345
2015/04/12;15:03:48;3564576;6763108;-64.04;3683616;156978;315.55;17476;67;0;0;3593289;4402618
2015/04/12;15:03:58;22284;266016;-247.97;854539;6751203;-206.69;1575;89;0;0;-39621768;-48851074
2015/04/12;15:04:08;3171360;6764643;-75.75;3618080;156728;313.92;17476;67;0;0;3343487;4388845
2015/04/12;15:04:18;21772;266016;-250.29;854539;6751106;-206.69;1585;89;0;0;-37362424;-48390688
2015/04/12;15:04:28;6447904;6776368;-4.97;3552544;143716;320.76;17476;67;0;0;4762913;4446489
2015/04/12;15:04:38;18188;266016;-268.28;854539;6751181;-206.69;1595;89;0;0;-56012075;-48719131
2015/04/12;15:04:48;3695392;6764336;-60.46;3552544;157239;311.77;17476;67;0;0;4034804;4370688
2015/04/12;15:04:58;21516;266016;-251.48;854539;6751197;-206.69;1545;89;0;0;-41948837;-49438303
