,co2dil_CO2ppm
2015-04-12 14:43:34,865.6
2015-04-12 14:43:35,821.5
2015-04-12 14:43:36,717.8
2015-04-12 14:43:37,674.05
2015-04-12 14:43:38,630.3
2015-04-12 14:43:39,559.3
2015-04-12 14:43:40,612.65
2015-04-12 14:43:41,666.0
2015-04-12 14:43:42,1199.8
2015-04-12 14:43:43,1520.1
2015-04-12 14:43:44,1840.4
2015-04-12 14:43:45,2124.6
2015-04-12 14:43:46,2054.05
2015-04-12 14:43:47,1983.5
2015-04-12 14:43:48,1636.1
2015-04-12 14:43:49,1461.4
2015-04-12 14:43:50,1286.7
2015-04-12 14:43:51,1027.9
2015-04-12 14:43:52,1008.93333333
2015-04-12 14:43:53,989.966666667
2015-04-12 14:43:54,971.0
2015-04-12 14:43:55,994.55
2015-04-12 14:43:56,1018.1
2015-04-12 14:43:57,975.2
2015-04-12 14:43:58,887.25
2015-04-12 14:43:59,799.3
2015-04-12 14:44:00,684.9
2015-04-12 14:44:01,963.55
2015-04-12 14:44:02,1242.2
2015-04-12 14:44:03,3600.5
2015-04-12 14:44:04,5171.05
2015-04-12 14:44:05,6741.6
2015-04-12 14:44:06,8864.0
2015-04-12 14:44:07,8876.05
2015-04-12 14:44:08,8888.1
2015-04-12 14:44:09,6742.5
2015-04-12 14:44:10,5711.35
2015-04-12 14:44:11,4680.2
2015-04-12 14:44:12,3676.2
2015-04-12 14:44:13,3804.0
2015-04-12 14:44:14,3931.8
2015-04-12 14:44:15,5250.1
2015-04-12 14:44:16,6190.46666667
2015-04-12 14:44:17,7130.83333333
2015-04-12 14:44:18,8071.2
2015-04-12 14:44:19,9168.55
2015-04-12 14:44:20,10265.9
2015-04-12 14:44:21,9894.4
2015-04-12 14:44:22,9017.45
2015-04-12 14:44:23,8140.5
2015-04-12 14:44:24,6749.2
2015-04-12 14:44:25,6534.4
2015-04-12 14:44:26,6319.6
2015-04-12 14:44:27,7387.8
2015-04-12 14:44:28,8130.4
2015-04-12 14:44:29,8873.0
2015-04-12 14:44:30,8404.9
2015-04-12 14:44:31,7543.95
2015-04-12 14:44:32,6683.0
2015-04-12 14:44:33,5620.4
2015-04-12 14:44:34,5371.9
2015-04-12 14:44:35,5123.4
2015-04-12 14:44:36,5500.0
2015-04-12 14:44:37,5861.55
2015-04-12 14:44:38,6223.1
2015-04-12 14:44:39,6153.0
2015-04-12 14:44:40,5671.23333333
2015-04-12 14:44:41,5189.46666667
2015-04-12 14:44:42,4707.7
2015-04-12 14:44:43,4185.95
2015-04-12 14:44:44,3664.2
2015-04-12 14:44:45,3479.1
2015-04-12 14:44:46,3725.2
2015-04-12 14:44:47,3971.3
2015-04-12 14:44:48,4410.8
2015-04-12 14:44:49,4635.2
2015-04-12 14:44:50,4859.6
2015-04-12 14:44:51,5031.3
2015-04-12 14:44:52,4778.1
2015-04-12 14:44:53,4524.9
2015-04-12 14:44:54,3758.6
2015-04-12 14:44:55,3442.8
2015-04-12 14:44:56,3127.0
2015-04-12 14:44:57,2672.8
2015-04-12 14:44:58,2475.3
2015-04-12 14:44:59,2277.8
2015-04-12 14:45:00,2227.7
2015-04-12 14:45:01,2685.1
2015-04-12 14:45:02,3142.5
2015-04-12 14:45:03,4291.0
2015-04-12 14:45:04,4465.46666667
2015-04-12 14:45:05,4639.93333333
2015-04-12 14:45:06,4814.4
2015-04-12 14:45:07,4618.7
2015-04-12 14:45:08,4423.0
2015-04-12 14:45:09,3874.4
2015-04-12 14:45:10,3665.4
2015-04-12 14:45:11,3456.4
2015-04-12 14:45:12,3128.1
2015-04-12 14:45:13,2985.05
2015-04-12 14:45:14,2842.0
2015-04-12 14:45:15,2556.4
2015-04-12 14:45:16,2358.9
2015-04-12 14:45:17,2161.4
2015-04-12 14:45:18,1811.0
2015-04-12 14:45:19,1613.9
2015-04-12 14:45:20,1416.8
2015-04-12 14:45:21,1056.5
2015-04-12 14:45:22,930.15
2015-04-12 14:45:23,803.8
2015-04-12 14:45:24,640.6
2015-04-12 14:45:25,600.5
2015-04-12 14:45:26,560.4
2015-04-12 14:45:27,1379.8
2015-04-12 14:45:28,2227.23333333
2015-04-12 14:45:29,3074.66666667
2015-04-12 14:45:30,3922.1
2015-04-12 14:45:31,5022.5
2015-04-12 14:45:32,6122.9
2015-04-12 14:45:33,8097.9
2015-04-12 14:45:34,8947.05
2015-04-12 14:45:35,9796.2
2015-04-12 14:45:36,10460.5
2015-04-12 14:45:37,9678.95
2015-04-12 14:45:38,8897.4
2015-04-12 14:45:39,6744.6
2015-04-12 14:45:40,5943.05
2015-04-12 14:45:41,5141.5
2015-04-12 14:45:42,4877.3
2015-04-12 14:45:43,4739.3
2015-04-12 14:45:44,4601.3
2015-04-12 14:45:45,4292.6
2015-04-12 14:45:46,5164.05
2015-04-12 14:45:47,6035.5
2015-04-12 14:45:48,9461.5
2015-04-12 14:45:49,10988.4
2015-04-12 14:45:50,12515.3
2015-04-12 14:45:51,13482.4333333
2015-04-12 14:45:52,14449.5666667
2015-04-12 14:45:53,15416.7
2015-04-12 14:45:54,16287.5
2015-04-12 14:45:55,14905.9
2015-04-12 14:45:56,13524.3
2015-04-12 14:45:57,10679.1
2015-04-12 14:45:58,10484.4
2015-04-12 14:45:59,10289.7
2015-04-12 14:46:00,11933.2
2015-04-12 14:46:01,12591.6
2015-04-12 14:46:02,13250.0
2015-04-12 14:46:03,13569.6
2015-04-12 14:46:04,13053.2
2015-04-12 14:46:05,12536.8
2015-04-12 14:46:06,11362.8
2015-04-12 14:46:07,10794.5
2015-04-12 14:46:08,10226.2
2015-04-12 14:46:09,8189.2
2015-04-12 14:46:10,7009.85
2015-04-12 14:46:11,5830.5
2015-04-12 14:46:12,4480.6
2015-04-12 14:46:13,4492.0
2015-04-12 14:46:14,4503.4
2015-04-12 14:46:15,4777.3
2015-04-12 14:46:16,5051.2
2015-04-12 14:46:17,5325.1
2015-04-12 14:46:18,6334.8
2015-04-12 14:46:19,6529.0
