,hnu
2015-04-12 14:44:01,2.7
2015-04-12 14:44:02,2.7
2015-04-12 14:44:03,2.7
2015-04-12 14:44:04,2.7
2015-04-12 14:44:05,2.7
2015-04-12 14:44:06,2.7
2015-04-12 14:44:07,2.7
2015-04-12 14:44:08,2.7
2015-04-12 14:44:09,2.7
2015-04-12 14:44:10,2.7
2015-04-12 14:44:11,2.7
2015-04-12 14:44:12,2.7
2015-04-12 14:44:13,2.7
2015-04-12 14:44:14,2.7
2015-04-12 14:44:15,2.7
2015-04-12 14:44:16,2.7
2015-04-12 14:44:17,2.7
2015-04-12 14:44:18,2.7
2015-04-12 14:44:19,2.7
2015-04-12 14:44:20,2.7
2015-04-12 14:44:21,2.7
2015-04-12 14:44:22,2.8
2015-04-12 14:44:23,2.9
2015-04-12 14:44:24,2.9
2015-04-12 14:44:25,3.0
2015-04-12 14:44:26,3.0
2015-04-12 14:44:27,3.1
2015-04-12 14:44:28,3.1
2015-04-12 14:44:29,3.1
2015-04-12 14:44:30,3.1
2015-04-12 14:44:31,3.2
2015-04-12 14:44:32,3.8
2015-04-12 14:44:33,3.8
2015-04-12 14:44:34,3.8
2015-04-12 14:44:35,3.8
2015-04-12 14:44:36,3.8
2015-04-12 14:44:37,3.8
2015-04-12 14:44:38,3.7
2015-04-12 14:44:39,3.7
2015-04-12 14:44:40,3.6
2015-04-12 14:44:41,3.6
2015-04-12 14:44:42,3.6
2015-04-12 14:44:43,3.6
2015-04-12 14:44:44,3.6
2015-04-12 14:44:45,3.5
2015-04-12 14:44:46,3.4
2015-04-12 14:44:47,3.3
2015-04-12 14:44:48,3.3
2015-04-12 14:44:49,3.2
2015-04-12 14:44:50,3.1
2015-04-12 14:44:51,3.1
2015-04-12 14:44:52,3.0
2015-04-12 14:44:53,2.9
2015-04-12 14:44:54,2.9
2015-04-12 14:44:55,2.9
2015-04-12 14:44:56,2.9
2015-04-12 14:44:57,2.9
2015-04-12 14:44:58,2.9
2015-04-12 14:44:59,2.9
2015-04-12 14:45:00,2.9
2015-04-12 14:45:01,2.9
2015-04-12 14:45:02,2.9
2015-04-12 14:45:03,2.9
2015-04-12 14:45:04,2.9
2015-04-12 14:45:05,2.9
2015-04-12 14:45:06,2.8
2015-04-12 14:45:07,2.8
2015-04-12 14:45:08,2.8
2015-04-12 14:45:09,2.8
2015-04-12 14:45:10,2.8
2015-04-12 14:45:11,2.8
2015-04-12 14:45:12,2.8
2015-04-12 14:45:13,2.8
2015-04-12 14:45:14,2.8
2015-04-12 14:45:15,2.8
2015-04-12 14:45:16,2.8
2015-04-12 14:45:17,2.8
2015-04-12 14:45:18,2.8
2015-04-12 14:45:19,2.8
2015-04-12 14:45:20,2.8
2015-04-12 14:45:21,2.8
2015-04-12 14:45:22,2.8
2015-04-12 14:45:23,2.8
2015-04-12 14:45:24,2.7
2015-04-12 14:45:25,2.7
2015-04-12 14:45:26,2.7
2015-04-12 14:45:27,2.8
2015-04-12 14:45:28,2.8
